index	tipo	votato	TOT	votante	voti
1	Jury	United Kingdom	283	Albania	10
1	Jury	United Kingdom	283	Austria	12
1	Jury	United Kingdom	283	Azerbaijan	12
1	Jury	United Kingdom	283	Belgium	12
1	Jury	United Kingdom	283	Bulgaria	10
1	Jury	United Kingdom	283	Cyprus	3
1	Jury	United Kingdom	283	Czech Republic	12
1	Jury	United Kingdom	283	denmark	6
1	Jury	United Kingdom	283	Estonia	4
1	Jury	United Kingdom	283	Finland	10
1	Jury	United Kingdom	283	France	12
1	Jury	United Kingdom	283	Georgia	12
1	Jury	United Kingdom	283	Germany	12
1	Jury	United Kingdom	283	Iceland	7
1	Jury	United Kingdom	283	Ireland	8
1	Jury	United Kingdom	283	Israel	10
1	Jury	United Kingdom	283	Italy	6
1	Jury	United Kingdom	283	Llatvia	8
1	Jury	United Kingdom	283	Lithuania	10
1	Jury	United Kingdom	283	Malta	8
1	Jury	United Kingdom	283	Moldova	10
1	Jury	United Kingdom	283	Montenegro	5
1	Jury	United Kingdom	283	Netherlands	4
1	Jury	United Kingdom	283	North Macedonia	8
1	Jury	United Kingdom	283	Norway	6
1	Jury	United Kingdom	283	Poland	8
1	Jury	United Kingdom	283	Portugal	10
1	Jury	United Kingdom	283	Romania	8
1	Jury	United Kingdom	283	San Marino	8
1	Jury	United Kingdom	283	Serbia	1
1	Jury	United Kingdom	283	Slovenia	2
1	Jury	United Kingdom	283	Spain	3
1	Jury	United Kingdom	283	Sweden	8
1	Jury	United Kingdom	283	Switzerland	6
1	Jury	United Kingdom	283	Ukraine	12
2	Jury	Sweden	258	Albania	8
2	Jury	Sweden	258	Armenia	5
2	Jury	Sweden	258	Australia	10
2	Jury	Sweden	258	Austria	7
2	Jury	Sweden	258	Azerbaijan	8
2	Jury	Sweden	258	Belgium	7
2	Jury	Sweden	258	Croatia	5
2	Jury	Sweden	258	Cyprus	5
2	Jury	Sweden	258	Czech Republic	10
2	Jury	Sweden	258	denmark	7
2	Jury	Sweden	258	Estonia	12
2	Jury	Sweden	258	Finland	12
2	Jury	Sweden	258	Georgia	8
2	Jury	Sweden	258	Germany	7
2	Jury	Sweden	258	Iceland	12
2	Jury	Sweden	258	Ireland	10
2	Jury	Sweden	258	Israel	12
2	Jury	Sweden	258	Llatvia	10
2	Jury	Sweden	258	Lithuania	3
2	Jury	Sweden	258	Malta	10
2	Jury	Sweden	258	Moldova	8
2	Jury	Sweden	258	Montenegro	7
2	Jury	Sweden	258	Netherlands	1
2	Jury	Sweden	258	North Macedonia	6
2	Jury	Sweden	258	Norway	8
2	Jury	Sweden	258	Poland	10
2	Jury	Sweden	258	Romania	10
2	Jury	Sweden	258	San Marino	5
2	Jury	Sweden	258	Serbia	5
2	Jury	Sweden	258	Spain	7
2	Jury	Sweden	258	Switzerland	7
2	Jury	Sweden	258	Ukraine	4
2	Jury	Sweden	258	United Kingdom	12
3	Jury	Spain	231	Albania	5
3	Jury	Spain	231	Armenia	12
3	Jury	Spain	231	Australia	12
3	Jury	Spain	231	Austria	2
3	Jury	Spain	231	Azerbaijan	5
3	Jury	Spain	231	Belgium	10
3	Jury	Spain	231	Bulgaria	8
3	Jury	Spain	231	Croatia	6
3	Jury	Spain	231	Cyprus	6
3	Jury	Spain	231	Czech Republic	7
3	Jury	Spain	231	denmark	4
3	Jury	Spain	231	France	5
3	Jury	Spain	231	Georgia	5
3	Jury	Spain	231	Germany	8
3	Jury	Spain	231	Greece	5
3	Jury	Spain	231	Iceland	3
3	Jury	Spain	231	Ireland	12
3	Jury	Spain	231	Israel	3
3	Jury	Spain	231	Lithuania	5
3	Jury	Spain	231	Malta	12
3	Jury	Spain	231	Moldova	3
3	Jury	Spain	231	Montenegro	8
3	Jury	Spain	231	Netherlands	5
3	Jury	Spain	231	North Macedonia	12
3	Jury	Spain	231	Norway	7
3	Jury	Spain	231	Poland	1
3	Jury	Spain	231	Portugal	12
3	Jury	Spain	231	Romania	1
3	Jury	Spain	231	San Marino	12
3	Jury	Spain	231	Serbia	4
3	Jury	Spain	231	Slovenia	1
3	Jury	Spain	231	Sweden	12
3	Jury	Spain	231	Switzerland	8
3	Jury	Spain	231	United Kingdom	10
4	Jury	Ukraine	192	Albania	7
4	Jury	Ukraine	192	Armenia	6
4	Jury	Ukraine	192	Australia	7
4	Jury	Ukraine	192	Azerbaijan	6
4	Jury	Ukraine	192	Belgium	6
4	Jury	Ukraine	192	Croatia	8
4	Jury	Ukraine	192	Cyprus	7
4	Jury	Ukraine	192	Czech Republic	4
4	Jury	Ukraine	192	denmark	5
4	Jury	Ukraine	192	France	10
4	Jury	Ukraine	192	Georgia	6
4	Jury	Ukraine	192	Germany	10
4	Jury	Ukraine	192	Iceland	10
4	Jury	Ukraine	192	Ireland	3
4	Jury	Ukraine	192	Israel	7
4	Jury	Ukraine	192	Llatvia	12
4	Jury	Ukraine	192	Lithuania	12
4	Jury	Ukraine	192	Moldova	12
4	Jury	Ukraine	192	Montenegro	6
4	Jury	Ukraine	192	Norway	3
4	Jury	Ukraine	192	Poland	12
4	Jury	Ukraine	192	Portugal	8
4	Jury	Ukraine	192	Romania	12
4	Jury	Ukraine	192	San Marino	2
4	Jury	Ukraine	192	Slovenia	8
4	Jury	Ukraine	192	Switzerland	3
5	Jury	Portugal	171	Albania	1
5	Jury	Portugal	171	Armenia	8
5	Jury	Portugal	171	Australia	6
5	Jury	Portugal	171	Austria	10
5	Jury	Portugal	171	Azerbaijan	7
5	Jury	Portugal	171	Belgium	5
5	Jury	Portugal	171	Bulgaria	4
5	Jury	Portugal	171	Croatia	10
5	Jury	Portugal	171	Czech Republic	5
5	Jury	Portugal	171	denmark	8
5	Jury	Portugal	171	Estonia	7
5	Jury	Portugal	171	France	1
5	Jury	Portugal	171	Georgia	7
5	Jury	Portugal	171	Greece	3
5	Jury	Portugal	171	Iceland	5
5	Jury	Portugal	171	Ireland	4
5	Jury	Portugal	171	Llatvia	6
5	Jury	Portugal	171	Lithuania	8
5	Jury	Portugal	171	Moldova	2
5	Jury	Portugal	171	Montenegro	4
5	Jury	Portugal	171	Netherlands	8
5	Jury	Portugal	171	Norway	10
5	Jury	Portugal	171	Poland	7
5	Jury	Portugal	171	Romania	7
5	Jury	Portugal	171	Serbia	7
5	Jury	Portugal	171	Slovenia	3
5	Jury	Portugal	171	Switzerland	5
5	Jury	Portugal	171	Ukraine	10
5	Jury	Portugal	171	United Kingdom	3
6	Jury	Italy	158	Albania	12
6	Jury	Italy	158	Armenia	10
6	Jury	Italy	158	Australia	3
6	Jury	Italy	158	Austria	3
6	Jury	Italy	158	Azerbaijan	10
6	Jury	Italy	158	Belgium	8
6	Jury	Italy	158	Bulgaria	1
6	Jury	Italy	158	Croatia	4
6	Jury	Italy	158	Cyprus	1
6	Jury	Italy	158	Estonia	10
6	Jury	Italy	158	Finland	2
6	Jury	Italy	158	Georgia	10
6	Jury	Italy	158	Greece	1
6	Jury	Italy	158	Iceland	6
6	Jury	Italy	158	Ireland	6
6	Jury	Italy	158	Israel	8
6	Jury	Italy	158	Lithuania	4
6	Jury	Italy	158	Malta	7
6	Jury	Italy	158	Montenegro	10
6	Jury	Italy	158	North Macedonia	7
6	Jury	Italy	158	Poland	4
6	Jury	Italy	158	Romania	4
6	Jury	Italy	158	San Marino	3
6	Jury	Italy	158	Slovenia	12
6	Jury	Italy	158	Spain	10
6	Jury	Italy	158	Switzerland	2
6	Jury	Greece	158	Armenia	2
6	Jury	Greece	158	Austria	4
6	Jury	Greece	158	Azerbaijan	3
